model_timestamp,avg_reward,avg_waiting_time,avg_queue_length,min_waiting_time,max_reward
20250517_104939,-1.20,290.85,2.49,0.00,0.08
20250517_100051,0.00,0.00,0.25,0.00,0.00
20250516_203131,-0.32,78.93,1.75,0.00,0.08
20250516_194543,-0.59,138.13,2.88,0.00,0.08
20250516_153323,-0.01,15.89,0.33,0.00,0.08
20250516_152456,0.02,0.00,0.50,0.00,0.02
20250516_152125,-0.32,69.75,2.29,0.00,0.02
20250516_151441,0.00,46346.72,8.58,38125.25,0.00
20250516_145822,0.00,53378.56,9.88,34245.25,0.00
20250516_145121,0.00,32550.50,6.03,32158.50,0.00
20250516_145025,0.00,33377.31,6.18,32215.00,0.00
20250516_144822,0.00,38491.00,7.13,38491.00,0.00
20250516_144656,0.00,41208.17,7.63,36447.50,0.00
20250516_144422,0.00,49746.69,9.21,45134.75,0.00
20250516_144041,0.00,164.56,3.25,0.00,0.00
20250516_143420,22.20,0.00,1.00,0.00,22.20
20250516_143325,1.10,30.25,0.75,0.00,22.20
20250516_143212,22.27,0.00,0.75,0.00,22.27
20250516_142902,22.37,0.00,0.42,0.00,22.50
20250516_111142,2.59,28.12,0.77,0.00,22.50
20250516_105430,-32.19,76.81,3.06,0.00,22.35
20250516_105103,0.00,1016.60,7.10,0.00,0.00
20250516_104616,0.00,290.20,6.90,0.00,0.00
20250516_011802,0.00,124.99,2.15,0.00,0.00
20250516_001743,0.00,305.25,3.66,0.00,0.00
20250516_000713,0.00,38541.41,7.14,31280.50,0.00
20250515_200915,0.00,42711.50,7.91,21963.50,0.00
20250515_190348,0.00,0.00,0.00,0.00,0.00
20250515_123155,0.00,42889.00,7.94,32878.67,0.00
20250515_114958,0.00,70038.50,12.97,57265.67,0.00
20250515_114800,0.00,63060.67,11.68,57265.67,0.00
20250515_114639,0.00,73988.67,13.70,73988.67,0.00
20250515_114456,0.00,71238.00,13.19,71238.00,0.00
20250515_114302,0.00,0.00,0.00,0.00,0.00
20250515_114211,0.00,0.00,0.00,0.00,0.00
20250515_000748,0.00,0.00,0.00,0.00,0.00
20250514_230344,0.00,0.00,0.00,0.00,0.00
20250514_230314,0.00,0.00,0.00,0.00,0.00
20250513_234719,0.00,66416.75,12.30,66416.75,0.00
20250513_234652,0.00,70845.97,13.12,34930.50,0.00
20250513_145042,0.00,65735.58,12.17,46864.33,0.00
20250513_144233,0.00,63848.19,11.82,30208.00,0.00
20250513_143538,0.00,37985.28,7.03,34997.00,0.00
20250513_101806,0.00,67932.00,12.58,30322.00,0.00
