episode,reward,avg_waiting_time,avg_queue_length
0,0.022461104463780288,0.0,0.5
1,0.07675741317960247,0.0,0.0
2,0.016841288267317858,0.0,0.5
3,0.02289024642051104,0.0,0.5
4,-6.810629134451724,1507.0,27.75
5,0.07587386561119974,0.0,0.0
6,0.04900182605807592,0.0,0.25
7,-5.43775088946699,1271.0,13.5
8,0.04976537843440636,0.0,0.25
9,-2.3514571713653774,517.0,11.0
10,0.030999192776355752,0.0,0.25
11,0.057066886148342884,0.0,0.0
12,-0.0036167230301389977,0.0,0.75
13,0.04370411791517329,0.0,0.25
14,0.05676544410411477,0.0,0.0
15,-3.856963543950191,843.75,17.0
16,-5.128348443072651,1135.25,21.75
17,0.02338051745021389,0.0,0.5
18,0.0232446839664244,0.0,0.5
19,0.04923749838191536,0.0,0.25
20,-5.493157376458457,1216.0,23.0
21,0.06947045948931131,0.0,0.0
22,0.04927294459079601,0.0,0.25
23,-1.6413044028220445,390.75,4.25
24,-0.003665725292034981,0.0,0.75
25,0.022449940738611847,0.0,0.5
26,-1.0144364547771914,199.0,8.0
27,-1.6680262984621783,358.0,8.75
28,-0.003421916718975876,0.0,0.75
29,0.02289660159433865,0.0,0.5
30,0.022708562672142503,0.0,0.5
31,-0.173305272503965,22.0,3.5
32,-0.7566541966959759,186.75,2.75
33,-0.3363193807817704,69.25,3.0
34,0.022906531930836888,0.0,0.5
35,-0.27294195371726826,72.25,1.25
36,-1.4822256537718694,313.25,9.75
37,0.04373756374679661,0.0,0.25
38,0.030230379813676385,0.0,0.25
39,0.030230379813676385,0.0,0.25
40,0.030230379813676385,0.0,0.25
41,0.030230379813676385,0.0,0.25
42,0.030230379813676385,0.0,0.25
43,-0.031009642012831795,15.25,1.5
44,-0.6978612034941075,171.25,2.75
45,0.04925491400664648,0.0,0.25
46,0.04925491400664648,0.0,0.25
47,0.04925491400664648,0.0,0.25
48,0.04925491400664648,0.0,0.25
49,0.04925491400664648,0.0,0.25
50,0.04925491400664648,0.0,0.25
51,0.04925491400664648,0.0,0.25
52,0.04925491400664648,0.0,0.25
53,0.04925491400664648,0.0,0.25
54,0.04925491400664648,0.0,0.25
55,0.04925491400664648,0.0,0.25
56,0.04925491400664648,0.0,0.25
57,0.04925491400664648,0.0,0.25
58,0.04925491400664648,0.0,0.25
59,0.04925491400664648,0.0,0.25
60,0.04925491400664648,0.0,0.25
61,0.04925491400664648,0.0,0.25
62,0.04925491400664648,0.0,0.25
63,0.04925491400664648,0.0,0.25
64,0.04925491400664648,0.0,0.25
65,0.04925491400664648,0.0,0.25
66,0.04925491400664648,0.0,0.25
67,0.04925491400664648,0.0,0.25
68,0.04925491400664648,0.0,0.25
69,0.04925491400664648,0.0,0.25
70,0.04925491400664648,0.0,0.25
71,0.04925491400664648,0.0,0.25
72,0.04925491400664648,0.0,0.25
73,0.04925491400664648,0.0,0.25
74,0.04925491400664648,0.0,0.25
75,0.04925491400664648,0.0,0.25
76,0.04925491400664648,0.0,0.25
77,0.04925491400664648,0.0,0.25
78,0.04925491400664648,0.0,0.25
79,0.04925491400664648,0.0,0.25
80,0.04925491400664648,0.0,0.25
81,0.04925491400664648,0.0,0.25
82,0.04925491400664648,0.0,0.25
83,0.04925491400664648,0.0,0.25
84,0.04925491400664648,0.0,0.25
85,0.04925491400664648,0.0,0.25
86,0.04925491400664648,0.0,0.25
87,0.04925491400664648,0.0,0.25
88,0.04925491400664648,0.0,0.25
89,0.04925491400664648,0.0,0.25
90,0.04925491400664648,0.0,0.25
91,0.04925491400664648,0.0,0.25
92,0.04925491400664648,0.0,0.25
93,0.04925491400664648,0.0,0.25
94,0.04925491400664648,0.0,0.25
95,0.04925491400664648,0.0,0.25
96,0.04925491400664648,0.0,0.25
97,0.04925491400664648,0.0,0.25
98,0.04925491400664648,0.0,0.25
99,0.04925491400664648,0.0,0.25
100,0.04925491400664648,0.0,0.25
101,0.04925491400664648,0.0,0.25
102,0.04925491400664648,0.0,0.25
103,0.04925491400664648,0.0,0.25
104,0.04925491400664648,0.0,0.25
