episode,reward,avg_waiting_time,avg_queue_length
0,0,0.0,0.0
1,0,52209.0,9.668333333333333
2,0,47399.5,8.777685185185184
3,0,41794.5,7.739722222222222
4,0,36548.0,6.768148148148148
5,0,42772.5,7.9208333333333325
6,0,33766.0,6.252962962962963
7,0,33477.0,6.199444444444444
8,0,38192.5,7.072685185185185
9,0,35667.0,6.605
10,0,31911.0,5.9094444444444445
11,0,42083.0,7.793148148148148
12,0,46315.5,8.576944444444445
13,0,33265.5,6.160277777777778
14,0,38509.0,7.131296296296297
15,0,29383.0,5.441296296296296
16,0,32051.0,5.93537037037037
17,0,38471.0,7.12425925925926
18,0,33548.5,6.212685185185185
